"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"precipType";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-15 00:00:00;1555279200;"Partly Cloudy";"partly-cloudy-night";0.1346;0.24;"rain";8.33;6.71;6.78;0.9;1017.62;2.7;4.01;19;0.59;0;14.37;412.41;0;0;0;1;4;0
2019-04-15 00:15:00;1555280100;"Mostly Cloudy";"partly-cloudy-night";0.107925;0.21;"rain";8.2325;6.5375;6.6125;0.895;1017.6525;2.78;4.3425;19;0.595;0;14.1775;412.9575;0;0;0;1;4;0
2019-04-15 00:30:00;1555281000;"Mostly Cloudy";"partly-cloudy-night";0.08125;0.18;"rain";8.135;6.365;6.445;0.89;1017.685;2.86;4.675;19;0.6;0;13.985;413.505;0;0;0;1;4;0
2019-04-15 00:45:00;1555281900;"Mostly Cloudy";"partly-cloudy-night";0.054575;0.15;"rain";8.0375;6.1925;6.2775;0.885;1017.7175;2.94;5.0075;19;0.605;0;13.7925;414.0525;0;0;0;1;4;0
2019-04-15 01:00:00;1555282800;"Mostly Cloudy";"partly-cloudy-night";0.0279;0.12;"rain";7.94;6.02;6.11;0.88;1017.75;3.02;5.34;19;0.61;0;13.6;414.6;0;0;0;1;4;0
2019-04-15 01:15:00;1555283700;"Mostly Cloudy";"partly-cloudy-night";0.020925;0.09;"rain";7.83;5.84;5.905;0.875;1017.7875;3.0975;5.6625;19.5;0.6125;0;13.62;415.13;0;0;0;1;4;0
2019-04-15 01:30:00;1555284600;"Mostly Cloudy";"partly-cloudy-night";0.01395;0.06;"rain";7.72;5.66;5.7;0.87;1017.825;3.175;5.985;20;0.615;0;13.64;415.66;0;0;0;1;4;0
2019-04-15 01:45:00;1555285500;"Mostly Cloudy";"partly-cloudy-night";0.006975;0.03;"rain";7.61;5.48;5.495;0.865;1017.8625;3.2525;6.3075;20.5;0.6175;0;13.66;416.19;0;0;0;1;4;0
2019-04-15 02:00:00;1555286400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";7.5;5.3;5.29;0.86;1017.9;3.33;6.63;21;0.62;0;13.68;416.72;0;0;0;1;4;0
2019-04-15 02:15:00;1555287300;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";7.3025;5.02;5.0175;0.855;1017.94;3.3975;6.9275;22.25;0.615;0;14.07;417.2425;0;0;0;1;4;0
2019-04-15 02:30:00;1555288200;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";7.105;4.74;4.745;0.85;1017.98;3.465;7.225;23.5;0.61;0;14.46;417.765;0;0;0;1;4;0
2019-04-15 02:45:00;1555289100;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";6.9075;4.46;4.4725;0.845;1018.02;3.5325;7.5225;24.75;0.605;0;14.85;418.2875;0;0;0;1;4;0
2019-04-15 03:00:00;1555290000;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";6.71;4.18;4.2;0.84;1018.06;3.6;7.82;26;0.6;0;15.24;418.81;0;0;0;1;4;0
2019-04-15 03:15:00;1555290900;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";6.475;3.8575;3.895;0.835;1018.1075;3.665;8.1025;27.75;0.59;0;15.4525;419.2925;0;0;0;1;4;0
2019-04-15 03:30:00;1555291800;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";6.24;3.535;3.59;0.83;1018.155;3.73;8.385;29.5;0.58;0;15.665;419.775;0;0;0;1;4;0
2019-04-15 03:45:00;1555292700;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";6.005;3.2125;3.285;0.825;1018.2025;3.795;8.6675;31.25;0.57;0;15.8775;420.2575;0;0;0;1;4;0
2019-04-15 04:00:00;1555293600;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.77;2.89;2.98;0.82;1018.25;3.86;8.95;33;0.56;0;16.09;420.74;0;0;0;1;4;0
2019-04-15 04:15:00;1555294500;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.6375;2.6925;2.7675;0.815;1018.3125;3.9225;9.15;34.5;0.5525;0;16.09;421.17;0;0;0;1;4;0
2019-04-15 04:30:00;1555295400;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.505;2.495;2.555;0.81;1018.375;3.985;9.35;36;0.545;0;16.09;421.6;0;0;0;1;4;0
2019-04-15 04:45:00;1555296300;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.3725;2.2975;2.3425;0.805;1018.4375;4.0475;9.55;37.5;0.5375;0;16.09;422.03;0;0;0;1;4;0
2019-04-15 05:00:00;1555297200;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.24;2.1;2.13;0.8;1018.5;4.11;9.75;39;0.53;0;16.09;422.46;0;0;0;1;4;0
2019-04-15 05:15:00;1555298100;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.275;2.1025;2.0925;0.7975;1018.595;4.18;9.8325;40;0.5275;0;16.09;422.73;10;0;0;1;4;0
2019-04-15 05:30:00;1555299000;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.31;2.105;2.055;0.795;1018.69;4.25;9.915;41;0.525;0;16.09;423;38;0;0;1;4;0
2019-04-15 05:45:00;1555299900;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.345;2.1075;2.0175;0.7925;1018.785;4.32;9.9975;42;0.5225;0;16.09;423.27;67;0;0;1;4;0
2019-04-15 06:00:00;1555300800;"Partly Cloudy";"partly-cloudy-night";0;0;"rain";5.38;2.11;1.98;0.79;1018.88;4.39;10.08;43;0.52;0;16.09;423.54;96;0;0;1;4;0
2019-04-15 06:15:00;1555301700;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";5.54;2.275;2.04;0.785;1018.9925;4.4575;10.075;43.25;0.5175;0;16.09;423.7675;125;0.5006;2.0471;1;4;10
2019-04-15 06:30:00;1555302600;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";5.7;2.44;2.1;0.78;1019.105;4.525;10.07;43.5;0.515;0;16.09;423.995;153;5.1664;15.3994;1;4;25
2019-04-15 06:45:00;1555303500;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";5.86;2.605;2.16;0.775;1019.2175;4.5925;10.065;43.75;0.5125;0;16.09;424.2225;181;13.0462;30.5026;1;4;48
2019-04-15 07:00:00;1555304400;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";6.02;2.77;2.22;0.77;1019.33;4.66;10.06;44;0.51;0;16.09;424.45;208;22.7402;45.6544;1;4;75
2019-04-15 07:15:00;1555305300;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";6.305;3.1;2.3125;0.76;1019.44;4.715;9.98;44.25;0.4975;0.25;16.09;424.625;235;33.5456;60.7899;1;4;117
2019-04-15 07:30:00;1555306200;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";6.59;3.43;2.405;0.75;1019.55;4.77;9.9;44.5;0.485;0.5;16.09;424.8;261;45.0327;75.8443;1;4;142
2019-04-15 07:45:00;1555307100;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";6.875;3.76;2.4975;0.74;1019.66;4.825;9.82;44.75;0.4725;0.75;16.09;424.975;286;56.9182;90.7531;1;4;161
2019-04-15 08:00:00;1555308000;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";7.16;4.09;2.59;0.73;1019.77;4.88;9.74;45;0.46;1;16.09;425.15;310;68.9996;105.4527;1;4;195
