"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-03-25 00:00:00;1553468400;"Mostly Cloudy";"partly-cloudy-night";0;0;9.87;9.87;3.94;0.67;1017;1.06;1.56;333;0.6;0;16.09;311.84;"rain";0;0;0;1;3;0
2019-03-25 00:15:00;1553469300;"Partly Cloudy";"partly-cloudy-night";0;0;9.7225;9.7225;3.8875;0.6725;1016.945;1.09;1.56;330.5;0.595;0;16.09;311.9525;"rain";0;0;0;1;3;0
2019-03-25 00:30:00;1553470200;"Partly Cloudy";"partly-cloudy-night";0;0;9.575;9.575;3.835;0.675;1016.89;1.12;1.56;328;0.59;0;16.09;312.065;"rain";0;0;0;1;3;0
2019-03-25 00:45:00;1553471100;"Partly Cloudy";"partly-cloudy-night";0;0;9.4275;9.4275;3.7825;0.6775;1016.835;1.15;1.56;325.5;0.585;0;16.09;312.1775;"rain";0;0;0;1;3;0
2019-03-25 01:00:00;1553472000;"Partly Cloudy";"partly-cloudy-night";0;0;9.28;9.28;3.73;0.68;1016.78;1.18;1.56;323;0.58;0;16.09;312.29;"rain";0;0;0;1;3;0
2019-03-25 01:15:00;1553472900;"Partly Cloudy";"partly-cloudy-night";0;0;9.125;9.125;3.7025;0.6875;1016.6775;1.03;1.555;263.25;0.5775;0;16.09;312.12;"rain";0;0;0;1;3;0
2019-03-25 01:30:00;1553473800;"Partly Cloudy";"partly-cloudy-night";0;0;8.97;8.97;3.675;0.695;1016.575;0.88;1.55;203.5;0.575;0;16.09;311.95;"rain";0;0;0;1;3;0
2019-03-25 01:45:00;1553474700;"Partly Cloudy";"partly-cloudy-night";0;0;8.815;8.815;3.6475;0.7025;1016.4725;0.73;1.545;143.75;0.5725;0;16.09;311.78;"rain";0;0;0;1;3;0
2019-03-25 02:00:00;1553475600;"Partly Cloudy";"partly-cloudy-night";0;0;8.66;8.66;3.62;0.71;1016.37;0.58;1.54;84;0.57;0;16.09;311.61;"rain";0;0;0;1;3;0
2019-03-25 02:15:00;1553476500;"Partly Cloudy";"partly-cloudy-night";0.001275;0.005;8.535;8.36;3.62;0.715;1016.25;0.83;1.5875;66.25;0.5675;0;16.09;311.28;"rain";0;0;0;1;3;0
2019-03-25 02:30:00;1553477400;"Partly Cloudy";"partly-cloudy-night";0.00255;0.01;8.41;8.06;3.62;0.72;1016.13;1.08;1.635;48.5;0.565;0;16.09;310.95;"rain";0;0;0;1;3;0
2019-03-25 02:45:00;1553478300;"Partly Cloudy";"partly-cloudy-night";0.003825;0.015;8.285;7.76;3.62;0.725;1016.01;1.33;1.6825;30.75;0.5625;0;16.09;310.62;"rain";0;0;0;1;3;0
2019-03-25 03:00:00;1553479200;"Partly Cloudy";"partly-cloudy-night";0.0051;0.02;8.16;7.46;3.62;0.73;1015.89;1.58;1.73;13;0.56;0;16.09;310.29;"rain";0;0;0;1;3;0
2019-03-25 03:15:00;1553480100;"Partly Cloudy";"partly-cloudy-night";0.005725;0.02;8.12;7.3025;3.6675;0.735;1015.805;1.695;1.815;92.75;0.5625;0;16.09;310.2875;"rain";0;0;0;1;3;0
2019-03-25 03:30:00;1553481000;"Partly Cloudy";"partly-cloudy-night";0.00635;0.02;8.08;7.145;3.715;0.74;1015.72;1.81;1.9;172.5;0.565;0;16.09;310.285;"rain";0;0;0;1;3;0
2019-03-25 03:45:00;1553481900;"Partly Cloudy";"partly-cloudy-night";0.006975;0.02;8.04;6.9875;3.7625;0.745;1015.635;1.925;1.985;252.25;0.5675;0;16.09;310.2825;"rain";0;0;0;1;3;0
2019-03-25 04:00:00;1553482800;"Partly Cloudy";"partly-cloudy-night";0.0076;0.02;8;6.83;3.81;0.75;1015.55;2.04;2.07;332;0.57;0;16.09;310.28;"rain";0;0;0;1;3;0
2019-03-25 04:15:00;1553483700;"Mostly Cloudy";"partly-cloudy-night";0.0057;0.015;8.07;6.8475;3.93;0.7525;1015.5425;2.1175;2.1575;330.75;0.58;0;16.09;310.7675;"rain";0;0;0;1;3;0
2019-03-25 04:30:00;1553484600;"Mostly Cloudy";"partly-cloudy-night";0.0038;0.01;8.14;6.865;4.05;0.755;1015.535;2.195;2.245;329.5;0.59;0;16.09;311.255;"rain";0;0;0;1;3;0
2019-03-25 04:45:00;1553485500;"Mostly Cloudy";"partly-cloudy-night";0.0019;0.005;8.21;6.8825;4.17;0.7575;1015.5275;2.2725;2.3325;328.25;0.6;0;16.09;311.7425;"rain";0;0;0;1;3;0
2019-03-25 05:00:00;1553486400;"Mostly Cloudy";"partly-cloudy-night";0;0;8.28;6.9;4.29;0.76;1015.52;2.35;2.42;327;0.61;0;16.09;312.23;"rain";0;0;0;1;3;0
2019-03-25 05:15:00;1553487300;"Mostly Cloudy";"partly-cloudy-day";0;0;8.4025;6.9825;4.4575;0.7625;1015.5475;2.435;2.5225;330;0.6225;0;16.09;313.0275;"rain";0;0;0;1;3;0
2019-03-25 05:30:00;1553488200;"Mostly Cloudy";"partly-cloudy-day";0;0;8.525;7.065;4.625;0.765;1015.575;2.52;2.625;333;0.635;0;16.09;313.825;"rain";0;0;0;1;3;0
