"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"ForecastOrNot";"GHI";"TOA";"predicted_P"
2019-03-06 00:00:00;1551826800;"Partly Cloudy";"partly-cloudy-night";0;0;7.68;5.71;2.96;0.72;1015;3.03;7.41;217;0.51;0;16.09;387.59;"rain";0;1;0;0;0
2019-03-06 00:15:00;1551827700;"Partly Cloudy";"partly-cloudy-night";0;0;7.535;5.4975;3.01;0.73;1015.08;3.09;7.7;216.25;0.5;0;16.09;386.1875;"rain";0;1;0;0;0
2019-03-06 00:30:00;1551828600;"Partly Cloudy";"partly-cloudy-night";0;0;7.39;5.285;3.06;0.74;1015.16;3.15;7.99;215.5;0.49;0;16.09;384.785;"rain";0;1;0;0;0
2019-03-06 00:45:00;1551829500;"Partly Cloudy";"partly-cloudy-night";0;0;7.245;5.0725;3.11;0.75;1015.24;3.21;8.28;214.75;0.48;0;16.09;383.3825;"rain";0;1;0;0;0
2019-03-06 01:00:00;1551830400;"Partly Cloudy";"partly-cloudy-night";0;0;7.1;4.86;3.16;0.76;1015.32;3.27;8.57;214;0.47;0;16.09;381.98;"rain";0;1;0;0;0
2019-03-06 01:15:00;1551831300;"Partly Cloudy";"partly-cloudy-night";0;0;6.98;4.72;3.165;0.7675;1015.4575;3.26;8.3625;194.5;0.4825;0;16.09;381.0825;"rain";0;1;0;0;0
2019-03-06 01:30:00;1551832200;"Partly Cloudy";"partly-cloudy-night";0;0;6.86;4.58;3.17;0.775;1015.595;3.25;8.155;175;0.495;0;16.09;380.185;"rain";0;1;0;0;0
2019-03-06 01:45:00;1551833100;"Partly Cloudy";"partly-cloudy-night";0;0;6.74;4.44;3.175;0.7825;1015.7325;3.24;7.9475;155.5;0.5075;0;16.09;379.2875;"rain";0;1;0;0;0
2019-03-06 02:00:00;1551834000;"Partly Cloudy";"partly-cloudy-night";0;0;6.62;4.3;3.18;0.79;1015.87;3.23;7.74;136;0.52;0;16.09;378.39;"rain";0;1;0;0;0
2019-03-06 02:15:00;1551834900;"Mostly Cloudy";"partly-cloudy-night";0;0;6.5175;4.2175;3.1425;0.7925;1016.0425;3.17;7.265;107.25;0.5425;0;16.09;377.6775;"rain";0;1;0;0;0
