"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
2019-03-14 00:00:00;1552518000;"Overcast";"cloudy";0;0;5.54;4.37;-0.57;0.65;1013.99;1.66;2.47;23;0.94;0;16.09;423.41;"rain";0;0;0;1;0
2019-03-14 00:15:00;1552518900;"Mostly Cloudy";"partly-cloudy-night";0;0;5.395;4.2975;-0.5;0.66;1013.98;1.5875;2.315;20;0.935;0;16.09;424.625;"rain";0;0;0;1;0
2019-03-14 00:30:00;1552519800;"Mostly Cloudy";"partly-cloudy-night";0;0;5.25;4.225;-0.43;0.67;1013.97;1.515;2.16;17;0.93;0;16.09;425.84;"rain";0;0;0;1;0
2019-03-14 00:45:00;1552520700;"Mostly Cloudy";"partly-cloudy-night";0;0;5.105;4.1525;-0.36;0.68;1013.96;1.4425;2.005;14;0.925;0;16.09;427.055;"rain";0;0;0;1;0
2019-03-14 01:00:00;1552521600;"Mostly Cloudy";"partly-cloudy-night";0;0;4.96;4.08;-0.29;0.69;1013.95;1.37;1.85;11;0.92;0;16.09;428.27;"rain";0;0;0;1;0
2019-03-14 01:15:00;1552522500;"Overcast";"cloudy";0;0;4.755;4.095;-0.29;0.7;1013.9275;1.3325;1.7475;95.25;0.925;0;16.09;429.3575;"rain";0;0;0;1;0
2019-03-14 01:30:00;1552523400;"Overcast";"cloudy";0;0;4.55;4.11;-0.29;0.71;1013.905;1.295;1.645;179.5;0.93;0;16.09;430.445;"rain";0;0;0;1;0
2019-03-14 01:45:00;1552524300;"Overcast";"cloudy";0;0;4.345;4.125;-0.29;0.72;1013.8825;1.2575;1.5425;263.75;0.935;0;16.09;431.5325;"rain";0;0;0;1;0
2019-03-14 02:00:00;1552525200;"Overcast";"cloudy";0;0;4.14;4.14;-0.29;0.73;1013.86;1.22;1.44;348;0.94;0;16.09;432.62;"rain";0;0;0;1;0
2019-03-14 02:15:00;1552526100;"Overcast";"cloudy";0;0;3.8975;3.8975;-0.335;0.74;1013.845;1.2;1.395;341.25;0.9475;0;16.09;433.5825;"rain";0;0;0;1;0
2019-03-14 02:30:00;1552527000;"Overcast";"cloudy";0;0;3.655;3.655;-0.38;0.75;1013.83;1.18;1.35;334.5;0.955;0;16.09;434.545;"rain";0;0;0;1;0
2019-03-14 02:45:00;1552527900;"Overcast";"cloudy";0;0;3.4125;3.4125;-0.425;0.76;1013.815;1.16;1.305;327.75;0.9625;0;16.09;435.5075;"rain";0;0;0;1;0
2019-03-14 03:00:00;1552528800;"Overcast";"cloudy";0;0;3.17;3.17;-0.47;0.77;1013.8;1.14;1.26;321;0.97;0;16.09;436.47;"rain";0;0;0;1;0
