"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-05-19 00:00:00;1558216800;"Overcast";"cloudy";0.6172;0.56;13.17;13.17;12.54;0.96;1008.9;2.97;5.61;269;1;0;7.71;345.04;0;0;0;1;5;0
2019-05-19 00:15:00;1558217700;"Overcast";"cloudy";0.552425;0.5225;13.1375;13.1375;12.49;0.96;1008.8475;2.7725;5.0925;269;1;0;7.94;345.205;0;0;0;1;5;0
2019-05-19 00:30:00;1558218600;"Overcast";"cloudy";0.48765;0.485;13.105;13.105;12.44;0.96;1008.795;2.575;4.575;269;1;0;8.17;345.37;0;0;0;1;5;0
2019-05-19 00:45:00;1558219500;"Overcast";"cloudy";0.422875;0.4475;13.0725;13.0725;12.39;0.96;1008.7425;2.3775;4.0575;269;1;0;8.4;345.535;0;0;0;1;5;0
2019-05-19 01:00:00;1558220400;"Overcast";"cloudy";0.3581;0.41;13.04;13.04;12.34;0.96;1008.69;2.18;3.54;269;1;0;8.63;345.7;0;0;0;1;5;0
2019-05-19 01:15:00;1558221300;"Overcast";"cloudy";0.316825;0.3775;13;13;12.2725;0.9575;1008.6275;2.0975;3.15;265;0.985;0;9.1725;345.71;0;0;0;1;5;0
2019-05-19 01:30:00;1558222200;"Overcast";"cloudy";0.27555;0.345;12.96;12.96;12.205;0.955;1008.565;2.015;2.76;261;0.97;0;9.715;345.72;0;0;0;1;5;0
2019-05-19 01:45:00;1558223100;"Overcast";"cloudy";0.234275;0.3125;12.92;12.92;12.1375;0.9525;1008.5025;1.9325;2.37;257;0.955;0;10.2575;345.73;0;0;0;1;5;0
2019-05-19 02:00:00;1558224000;"Overcast";"cloudy";0.193;0.28;12.88;12.88;12.07;0.95;1008.44;1.85;1.98;253;0.94;0;10.8;345.74;0;0;0;1;5;0
2019-05-19 02:15:00;1558224900;"Overcast";"cloudy";0.165075;0.2475;12.725;12.725;11.9375;0.95;1008.3775;1.6875;1.89;237.5;0.87;0;11.8225;345.4975;0;0;0;1;5;0
2019-05-19 02:30:00;1558225800;"Overcast";"cloudy";0.13715;0.215;12.57;12.57;11.805;0.95;1008.315;1.525;1.8;222;0.8;0;12.845;345.255;0;0;0;1;5;0
2019-05-19 02:45:00;1558226700;"Overcast";"cloudy";0.109225;0.1825;12.415;12.415;11.6725;0.95;1008.2525;1.3625;1.71;206.5;0.73;0;13.8675;345.0125;0;0;0;1;5;0
2019-05-19 03:00:00;1558227600;"Mostly Cloudy";"partly-cloudy-night";0.0813;0.15;12.26;12.26;11.54;0.95;1008.19;1.2;1.62;191;0.66;0;14.89;344.77;0;0;0;1;5;0
2019-05-19 03:15:00;1558228500;"Mostly Cloudy";"partly-cloudy-night";0.06415;0.125;12.09;12.09;11.3875;0.9525;1008.1175;1.24;1.5575;189;0.5675;0;15.19;344.3775;0;0;0;1;5;0
2019-05-19 03:30:00;1558229400;"Mostly Cloudy";"partly-cloudy-night";0.047;0.1;11.92;11.92;11.235;0.955;1008.045;1.28;1.495;187;0.475;0;15.49;343.985;0;0;0;1;5;0
2019-05-19 03:45:00;1558230300;"Mostly Cloudy";"partly-cloudy-night";0.02985;0.075;11.75;11.75;11.0825;0.9575;1007.9725;1.32;1.4325;185;0.3825;0;15.79;343.5925;0;0;0;1;5;0
2019-05-19 04:00:00;1558231200;"Partly Cloudy";"partly-cloudy-night";0.0127;0.05;11.58;11.58;10.93;0.96;1007.9;1.36;1.37;183;0.29;0;16.09;343.2;0;0;0;1;5;0
2019-05-19 04:15:00;1558232100;"Partly Cloudy";"partly-cloudy-night";0.009525;0.0375;11.5375;11.5375;10.8775;0.96;1007.85;1.32;1.3325;185.75;0.2225;0;16.09;342.82;0;0;0;1;5;0
2019-05-19 04:30:00;1558233000;"Partly Cloudy";"partly-cloudy-night";0.00635;0.025;11.495;11.495;10.825;0.96;1007.8;1.28;1.295;188.5;0.155;0;16.09;342.44;12;0;0;1;5;0
2019-05-19 04:45:00;1558233900;"Partly Cloudy";"partly-cloudy-night";0.003175;0.0125;11.4525;11.4525;10.7725;0.96;1007.75;1.24;1.2575;191.25;0.0875;0;16.09;342.06;38;0;0;1;5;0
