"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-03-27 00:00:00;1553641200;"Clear";"clear-night";0;0;5.18;2.08;-2.07;0.59;1026.24;3.99;11.83;341;0;0;16.09;357.86;"rain";0;0;0;1;3;0
2019-03-27 00:15:00;1553642100;"Clear";"clear-night";0;0;5.1;1.9525;-2.0375;0.595;1026.3125;4.045;12.0575;341.25;0;0;16.09;357.655;"rain";0;0;0;1;3;0
2019-03-27 00:30:00;1553643000;"Clear";"clear-night";0;0;5.02;1.825;-2.005;0.6;1026.385;4.1;12.285;341.5;0;0;16.09;357.45;"rain";0;0;0;1;3;0
2019-03-27 00:45:00;1553643900;"Clear";"clear-night";0;0;4.94;1.6975;-1.9725;0.605;1026.4575;4.155;12.5125;341.75;0;0;16.09;357.245;"rain";0;0;0;1;3;0
2019-03-27 01:00:00;1553644800;"Clear";"clear-night";0;0;4.86;1.57;-1.94;0.61;1026.53;4.21;12.74;342;0;0;16.09;357.04;"rain";0;0;0;1;3;0
2019-03-27 01:15:00;1553645700;"Clear";"clear-night";0;0;4.76;1.455;-1.9125;0.6175;1026.5425;4.1925;12.815;342.25;0.035;0;16.09;357.135;"rain";0;0;0;1;3;0
2019-03-27 01:30:00;1553646600;"Clear";"clear-night";0;0;4.66;1.34;-1.885;0.625;1026.555;4.175;12.89;342.5;0.07;0;16.09;357.23;"rain";0;0;0;1;3;0
2019-03-27 01:45:00;1553647500;"Clear";"clear-night";0;0;4.56;1.225;-1.8575;0.6325;1026.5675;4.1575;12.965;342.75;0.105;0;16.09;357.325;"rain";0;0;0;1;3;0
2019-03-27 02:00:00;1553648400;"Clear";"clear-night";0;0;4.46;1.11;-1.83;0.64;1026.58;4.14;13.04;343;0.14;0;16.09;357.42;"rain";0;0;0;1;3;0
2019-03-27 02:15:00;1553649300;"Partly Cloudy";"partly-cloudy-night";0;0;4.3925;1.0525;-1.79;0.645;1026.5675;4.0975;13.0075;343;0.1875;0;16.09;357.795;"rain";0;0;0;1;3;0
2019-03-27 02:30:00;1553650200;"Partly Cloudy";"partly-cloudy-night";0;0;4.325;0.995;-1.75;0.65;1026.555;4.055;12.975;343;0.235;0;16.09;358.17;"rain";0;0;0;1;3;0
2019-03-27 02:45:00;1553651100;"Partly Cloudy";"partly-cloudy-night";0;0;4.2575;0.9375;-1.71;0.655;1026.5425;4.0125;12.9425;343;0.2825;0;16.09;358.545;"rain";0;0;0;1;3;0
2019-03-27 03:00:00;1553652000;"Partly Cloudy";"partly-cloudy-night";0;0;4.19;0.88;-1.67;0.66;1026.53;3.97;12.91;343;0.33;0;16.09;358.92;"rain";0;0;0;1;3;0
2019-03-27 03:15:00;1553652900;"Partly Cloudy";"partly-cloudy-night";0;0;4.185;0.89;-1.6075;0.6625;1026.555;3.945;12.8225;343.5;0.37;0;16.09;359.43;"rain";0;0;0;1;3;0
2019-03-27 03:30:00;1553653800;"Partly Cloudy";"partly-cloudy-night";0;0;4.18;0.9;-1.545;0.665;1026.58;3.92;12.735;344;0.41;0;16.09;359.94;"rain";0;0;0;1;3;0
2019-03-27 03:45:00;1553654700;"Partly Cloudy";"partly-cloudy-night";0;0;4.175;0.91;-1.4825;0.6675;1026.605;3.895;12.6475;344.5;0.45;0;16.09;360.45;"rain";0;0;0;1;3;0
2019-03-27 04:00:00;1553655600;"Partly Cloudy";"partly-cloudy-night";0;0;4.17;0.92;-1.42;0.67;1026.63;3.87;12.56;345;0.49;0;16.09;360.96;"rain";0;0;0;1;3;0
2019-03-27 04:15:00;1553656500;"Partly Cloudy";"partly-cloudy-night";0;0;4.2475;1.01;-1.32;0.67;1026.7175;3.8775;12.42;345.5;0.51;0;16.09;361.615;"rain";0;0;0;1;3;0
