"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-07 00:00:00;1554588000;"Clear";"clear-night";0;0;9.63;8.37;4.43;0.7;1006.99;2.51;2.63;93;0;0;16.09;339.85;"rain";0;0;0;1;4;0
2019-04-07 00:15:00;1554588900;"Clear";"clear-night";0;0;9.485;8.1975;4.495;0.71;1006.92;2.515;2.7175;93;0;0;16.09;340.06;"rain";0;0;0;1;4;0
2019-04-07 00:30:00;1554589800;"Clear";"clear-night";0;0;9.34;8.025;4.56;0.72;1006.85;2.52;2.805;93;0;0;16.09;340.27;"rain";0;0;0;1;4;0
2019-04-07 00:45:00;1554590700;"Clear";"clear-night";0;0;9.195;7.8525;4.625;0.73;1006.78;2.525;2.8925;93;0;0;16.09;340.48;"rain";0;0;0;1;4;0
2019-04-07 01:00:00;1554591600;"Clear";"clear-night";0;0;9.05;7.68;4.69;0.74;1006.71;2.53;2.98;93;0;0;16.09;340.69;"rain";0;0;0;1;4;0
2019-04-07 01:15:00;1554592500;"Clear";"clear-night";0.0019;0.0025;8.9075;7.525;4.735;0.75;1006.6375;2.5125;3.0225;93.25;0;0;16.09;340.9725;"rain";0;0;0;1;4;0
2019-04-07 01:30:00;1554593400;"Clear";"clear-night";0.0038;0.005;8.765;7.37;4.78;0.76;1006.565;2.495;3.065;93.5;0;0;16.09;341.255;"rain";0;0;0;1;4;0
2019-04-07 01:45:00;1554594300;"Clear";"clear-night";0.0057;0.0075;8.6225;7.215;4.825;0.77;1006.4925;2.4775;3.1075;93.75;0;0;16.09;341.5375;"rain";0;0;0;1;4;0
2019-04-07 02:00:00;1554595200;"Clear";"clear-night";0.0076;0.01;8.48;7.06;4.87;0.78;1006.42;2.46;3.15;94;0;0;16.09;341.82;"rain";0;0;0;1;4;0
2019-04-07 02:15:00;1554596100;"Clear";"clear-night";0.006975;0.01;8.3;6.8925;4.85;0.7875;1006.35;2.4;3.1025;93.75;0.01;0;16.09;342.2025;"rain";0;0;0;1;4;0
2019-04-07 02:30:00;1554597000;"Clear";"clear-night";0.00635;0.01;8.12;6.725;4.83;0.795;1006.28;2.34;3.055;93.5;0.02;0;16.09;342.585;"rain";0;0;0;1;4;0
2019-04-07 02:45:00;1554597900;"Clear";"clear-night";0.005725;0.01;7.94;6.5575;4.81;0.8025;1006.21;2.28;3.0075;93.25;0.03;0;16.09;342.9675;"rain";0;0;0;1;4;0
2019-04-07 03:00:00;1554598800;"Clear";"clear-night";0.0051;0.01;7.76;6.39;4.79;0.81;1006.14;2.22;2.96;93;0.04;0;16.09;343.35;"rain";0;0;0;1;4;0
2019-04-07 03:15:00;1554599700;"Clear";"clear-night";0.003825;0.0075;7.58;6.26;4.7525;0.82;1006.0675;2.1325;2.865;92.75;0.055;0;16.09;343.8;"rain";0;0;0;1;4;0
2019-04-07 03:30:00;1554600600;"Clear";"clear-night";0.00255;0.005;7.4;6.13;4.715;0.83;1005.995;2.045;2.77;92.5;0.07;0;16.09;344.25;"rain";0;0;0;1;4;0
2019-04-07 03:45:00;1554601500;"Clear";"clear-night";0.001275;0.0025;7.22;6;4.6775;0.84;1005.9225;1.9575;2.675;92.25;0.085;0;16.09;344.7;"rain";0;0;0;1;4;0
2019-04-07 04:00:00;1554602400;"Clear";"clear-night";0;0;7.04;5.87;4.64;0.85;1005.85;1.87;2.58;92;0.1;0;16.09;345.15;"rain";0;0;0;1;4;0
2019-04-07 04:15:00;1554603300;"Clear";"clear-night";0;0;6.995;5.8925;4.6475;0.8525;1005.8075;1.8;2.4975;91.75;0.12;0;16.09;345.57;"rain";0;0;0;1;4;0
2019-04-07 04:30:00;1554604200;"Clear";"clear-night";0;0;6.95;5.915;4.655;0.855;1005.765;1.73;2.415;91.5;0.14;0;16.09;345.99;"rain";0;0;0;1;4;0
2019-04-07 04:45:00;1554605100;"Clear";"clear-night";0;0;6.905;5.9375;4.6625;0.8575;1005.7225;1.66;2.3325;91.25;0.16;0;16.09;346.41;"rain";0;0;0;1;4;0
2019-04-07 05:00:00;1554606000;"Clear";"clear-night";0;0;6.86;5.96;4.67;0.86;1005.68;1.59;2.25;91;0.18;0;16.09;346.83;"rain";0;0;0;1;4;0
2019-04-07 05:15:00;1554606900;"Partly Cloudy";"partly-cloudy-night";0;0;6.995;6.16;4.7425;0.8575;1005.6825;1.55;2.1975;89.75;0.2025;0;16.09;347.215;"rain";0;0;0;1;4;0
2019-04-07 05:30:00;1554607800;"Partly Cloudy";"partly-cloudy-night";0;0;7.13;6.36;4.815;0.855;1005.685;1.51;2.145;88.5;0.225;0;16.09;347.6;"rain";14;0;0;1;4;0
2019-04-07 05:45:00;1554608700;"Partly Cloudy";"partly-cloudy-night";0;0;7.265;6.56;4.8875;0.8525;1005.6875;1.47;2.0925;87.25;0.2475;0;16.09;347.985;"rain";43;0;0;1;4;0
2019-04-07 06:00:00;1554609600;"Partly Cloudy";"partly-cloudy-night";0;0;7.4;6.76;4.96;0.85;1005.69;1.43;2.04;86;0.27;0;16.09;348.37;"rain";72;0;0;1;4;0
2019-04-07 06:15:00;1554610500;"Partly Cloudy";"partly-cloudy-day";0;0;7.6225;7.04;5.075;0.8425;1005.72;1.41;1.995;84.5;0.2975;0;16.09;348.725;"rain";101;0;0;1;4;0
2019-04-07 06:30:00;1554611400;"Partly Cloudy";"partly-cloudy-day";0;0;7.845;7.32;5.19;0.835;1005.75;1.39;1.95;83;0.325;0;16.09;349.08;"rain";129;0.4384;2.3071;1;4;31
2019-04-07 06:45:00;1554612300;"Partly Cloudy";"partly-cloudy-day";0;0;8.0675;7.6;5.305;0.8275;1005.78;1.37;1.905;81.5;0.3525;0;16.09;349.435;"rain";157;3.7595;16.0504;1;4;38
2019-04-07 07:00:00;1554613200;"Partly Cloudy";"partly-cloudy-day";0;0;8.29;7.88;5.42;0.82;1005.81;1.35;1.86;80;0.38;0;16.09;349.79;"rain";185;8.8691;31.3862;1;4;44
2019-04-07 07:15:00;1554614100;"Partly Cloudy";"partly-cloudy-day";0;0;8.65;8.3425;5.55;0.8075;1005.835;1.3475;1.835;80.5;0.41;0;16.09;350.075;"rain";212;15.3787;46.7146;1;4;66
2019-04-07 07:30:00;1554615000;"Partly Cloudy";"partly-cloudy-day";0;0;9.01;8.805;5.68;0.795;1005.86;1.345;1.81;81;0.44;0;16.09;350.36;"rain";238;23.1379;61.9701;1;4;75
2019-04-07 07:45:00;1554615900;"Partly Cloudy";"partly-cloudy-day";0;0;9.37;9.2675;5.81;0.7825;1005.885;1.3425;1.785;81.5;0.47;0;16.09;350.645;"rain";263;31.9448;77.0873;1;4;93
2019-04-07 08:00:00;1554616800;"Partly Cloudy";"partly-cloudy-day";0;0;9.73;9.73;5.94;0.77;1005.91;1.34;1.76;82;0.5;0;16.09;350.93;"rain";288;41.5718;92.0017;1;4;114
2019-04-07 08:15:00;1554617700;"Mostly Cloudy";"partly-cloudy-day";0;0;10.245;10.245;6.11;0.755;1005.925;1.3775;1.765;84.75;0.5425;0.25;16.09;351.0925;"rain";311;51.8255;106.6494;1;4;139
