"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-06-05 00:00:00;1559685600;"Clear";"clear-night";0;0;17.41;17.53;15.53;0.89;1011.17;0.55;1.18;266;0.15;0;16.09;344.58;0;0;0;1;6;0
2019-06-05 00:15:00;1559686500;"Clear";"clear-night";0.005075;0.0125;17.29;17.4075;15.4875;0.8925;1011.1475;0.6775;1.26;285.5;0.1525;0;16.09;344.6;0;0;0;1;6;0
2019-06-05 00:30:00;1559687400;"Clear";"clear-night";0.01015;0.025;17.17;17.285;15.445;0.895;1011.125;0.805;1.34;305;0.155;0;16.09;344.62;0;0;0;1;6;0
2019-06-05 00:45:00;1559688300;"Clear";"clear-night";0.015225;0.0375;17.05;17.1625;15.4025;0.8975;1011.1025;0.9325;1.42;324.5;0.1575;0;16.09;344.64;0;0;0;1;6;0
2019-06-05 01:00:00;1559689200;"Clear";"clear-night";0.0203;0.05;16.93;17.04;15.36;0.9;1011.08;1.06;1.5;344;0.16;0;16.09;344.66;0;0;0;1;6;0
2019-06-05 01:15:00;1559690100;"Clear";"clear-night";0.02475;0.05;16.79;16.9;15.3125;0.9075;1011.055;1.0925;1.565;333;0.1725;0;16.09;344.7;0;0;0;1;6;0
2019-06-05 01:30:00;1559691000;"Clear";"clear-night";0.0292;0.05;16.65;16.76;15.265;0.915;1011.03;1.125;1.63;322;0.185;0;16.09;344.74;0;0;0;1;6;0
2019-06-05 01:45:00;1559691900;"Clear";"clear-night";0.03365;0.05;16.51;16.62;15.2175;0.9225;1011.005;1.1575;1.695;311;0.1975;0;16.09;344.78;0;0;0;1;6;0
2019-06-05 02:00:00;1559692800;"Clear";"clear-night";0.0381;0.05;16.37;16.48;15.17;0.93;1010.98;1.19;1.76;300;0.21;0;16.09;344.82;0;0;0;1;6;0
2019-06-05 02:15:00;1559693700;"Clear";"clear-night";0.0362;0.0475;16.185;16.2925;15.085;0.935;1010.9475;1.2;1.785;297;0.2375;0;16.09;344.9125;0;0;0;1;6;0
2019-06-05 02:30:00;1559694600;"Clear";"clear-night";0.0343;0.045;16;16.105;15;0.94;1010.915;1.21;1.81;294;0.265;0;16.09;345.005;0;0;0;1;6;0
2019-06-05 02:45:00;1559695500;"Clear";"clear-night";0.0324;0.0425;15.815;15.9175;14.915;0.945;1010.8825;1.22;1.835;291;0.2925;0;16.09;345.0975;0;0;0;1;6;0
2019-06-05 03:00:00;1559696400;"Partly Cloudy";"partly-cloudy-night";0.0305;0.04;15.63;15.73;14.83;0.95;1010.85;1.23;1.86;288;0.32;0;16.09;345.19;0;0;0;1;6;0
2019-06-05 03:15:00;1559697300;"Partly Cloudy";"partly-cloudy-night";0.02605;0.0375;15.47;15.565;14.7425;0.955;1010.8125;1.2225;1.8675;289.75;0.355;0;16.09;345.3;0;0;0;1;6;0
2019-06-05 03:30:00;1559698200;"Partly Cloudy";"partly-cloudy-night";0.0216;0.035;15.31;15.4;14.655;0.96;1010.775;1.215;1.875;291.5;0.39;0;16.09;345.41;0;0;0;1;6;0
2019-06-05 03:45:00;1559699100;"Partly Cloudy";"partly-cloudy-night";0.01715;0.0325;15.15;15.235;14.5675;0.965;1010.7375;1.2075;1.8825;293.25;0.425;0;16.09;345.52;0;0;0;1;6;0
2019-06-05 04:00:00;1559700000;"Partly Cloudy";"partly-cloudy-night";0.0127;0.03;14.99;15.07;14.48;0.97;1010.7;1.2;1.89;295;0.46;0;16.09;345.63;0;0;0;1;6;0
2019-06-05 04:15:00;1559700900;"Partly Cloudy";"partly-cloudy-night";0.011425;0.0275;15.025;15.105;14.4925;0.9675;1010.6625;1.2225;1.8775;295.25;0.49;0;16.09;345.6625;10;0;0;1;6;0
2019-06-05 04:30:00;1559701800;"Partly Cloudy";"partly-cloudy-night";0.01015;0.025;15.06;15.14;14.505;0.965;1010.625;1.245;1.865;295.5;0.52;0;16.09;345.695;35;0;0;1;6;0
