"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
2019-03-17 00:00:00;1552777200;"Partly Cloudy";"partly-cloudy-night";0;0;10.04;10.04;4.56;0.69;1014.59;3.24;8.54;231;0.31;0;16.09;331.99;"rain";0;0;0;1;0
2019-03-17 00:15:00;1552778100;"Clear";"clear-night";0;0;9.9475;9.4625;4.4775;0.69;1014.5625;3.36;9.0925;233;0.29;0;16.09;331.8775;"rain";0;0;0;1;0
2019-03-17 00:30:00;1552779000;"Clear";"clear-night";0;0;9.855;8.885;4.395;0.69;1014.535;3.48;9.645;235;0.27;0;16.09;331.765;"rain";0;0;0;1;0
2019-03-17 00:45:00;1552779900;"Clear";"clear-night";0;0;9.7625;8.3075;4.3125;0.69;1014.5075;3.6;10.1975;237;0.25;0;16.09;331.6525;"rain";0;0;0;1;0
2019-03-17 01:00:00;1552780800;"Clear";"clear-night";0;0;9.67;7.73;4.23;0.69;1014.48;3.72;10.75;239;0.23;0;16.09;331.54;"rain";0;0;0;1;0
2019-03-17 01:15:00;1552781700;"Clear";"clear-night";0;0;9.5775;7.595;4.255;0.695;1014.4;3.765;10.9175;239.75;0.21;0;16.09;331.5525;"rain";0;0;0;1;0
2019-03-17 01:30:00;1552782600;"Clear";"clear-night";0;0;9.485;7.46;4.28;0.7;1014.32;3.81;11.085;240.5;0.19;0;16.09;331.565;"rain";0;0;0;1;0
2019-03-17 01:45:00;1552783500;"Clear";"clear-night";0;0;9.3925;7.325;4.305;0.705;1014.24;3.855;11.2525;241.25;0.17;0;16.09;331.5775;"rain";0;0;0;1;0
2019-03-17 02:00:00;1552784400;"Clear";"clear-night";0;0;9.3;7.19;4.33;0.71;1014.16;3.9;11.42;242;0.15;0;16.09;331.59;"rain";0;0;0;1;0
2019-03-17 02:15:00;1552785300;"Clear";"clear-night";0;0;9.235;7.105;4.4075;0.7175;1014.0525;3.915;11.41;241.75;0.1275;0;16.09;331.6425;"rain";0;0;0;1;0
2019-03-17 02:30:00;1552786200;"Clear";"clear-night";0;0;9.17;7.02;4.485;0.725;1013.945;3.93;11.4;241.5;0.105;0;16.09;331.695;"rain";0;0;0;1;0
