 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.08.10. 8:00;91,097;W;E (1);
2018.08.10. 8:15;134,999;W;E (1);
2018.08.10. 8:30;161,640;W;E (1);
2018.08.10. 8:45;187,682;W;E (1);
2018.08.10. 9:00;211,928;W;E (1);
2018.08.10. 9:15;235,874;W;E (1);
2018.08.10. 9:30;260,320;W;E (1);
2018.08.10. 9:45;280,076;W;E (1);
2018.08.10. 10:00;297,338;W;E (1);
2018.08.10. 10:15;314,699;W;E (1);
2018.08.10. 10:30;330,364;W;E (1);
2018.08.10. 10:45;346,229;W;E (1);
2018.08.10. 11:00;360,098;W;E (1);
2018.08.10. 11:15;372,470;W;E (1);
2018.08.10. 11:30;383,546;W;E (1);
2018.08.10. 11:45;392,526;W;E (1);
2018.08.10. 12:00;397,315;W;E (1);
2018.08.10. 12:15;400,009;W;E (1);
2018.08.10. 12:30;406,994;W;E (1);
2018.08.10. 12:45;410,685;W;E (1);
2018.08.10. 13:00;409,089;W;E (1);
2018.08.10. 13:15;406,395;W;E (1);
2018.08.10. 13:30;404,000;W;E (1);
2018.08.10. 13:45;400,807;W;E (1);
2018.08.10. 14:00;397,914;W;E (1);
2018.08.10. 14:15;392,226;W;E (1);
2018.08.10. 14:30;383,146;W;E (1);
2018.08.10. 14:45;361,994;W;E (1);
2018.08.10. 15:00;354,410;W;E (1);
2018.08.10. 15:15;342,836;W;E (1);
2018.08.10. 15:30;330,065;W;E (1);
2018.08.10. 15:45;314,799;W;E (1);
2018.08.10. 16:00;298,236;W;E (1);
2018.08.10. 16:15;276,983;W;E (1);
2018.08.10. 16:30;256,728;W;E (1);
2018.08.10. 16:45;235,575;W;E (1);
2018.08.10. 17:00;211,529;W;E (1);
2018.08.10. 17:15;186,385;W;E (1);
2018.08.10. 17:30;162,338;W;E (1);
2018.08.10. 17:45;137,394;W;E (1);
2018.08.10. 18:00;111,751;W;E (1);
2018.08.10. 18:15;87,605;W;E (1);
2018.08.10. 18:30;63,259;W;E (1);
2018.08.10. 18:45;38,614;W;E (1);
2018.08.10. 19:00;29,734;W;E (1);
2018.08.10. 19:15;21,452;W;E (1);
2018.08.10. 19:30;17,062;W;E (1);
2018.08.10. 19:45;9,279;W;E (1);
2018.08.10. 20:00;2,295;W;E (1);
2018.08.10. 20:15;0,000;W;E (1);
2018.08.10. 20:30;0,000;W;E (1);
2018.08.10. 20:45;0,000;W;E (1);
2018.08.10. 21:00;0,000;W;E (1);
2018.08.10. 21:15;0,000;W;E (1);
2018.08.10. 21:30;0,000;W;E (1);
2018.08.10. 21:45;0,000;W;E (1);
2018.08.10. 22:00;0,000;W;E (1);
2018.08.10. 22:15;0,000;W;E (1);
2018.08.10. 22:30;0,000;W;E (1);
2018.08.10. 22:45;0,000;W;E (1);
2018.08.10. 23:00;0,000;W;E (1);
2018.08.10. 23:15;0,000;W;E (1);
2018.08.10. 23:30;0,000;W;E (1);
2018.08.10. 23:45;0,000;W;E (1);
2018.08.11. 0:00;0,000;W;E (1);
2018.08.11. 0:15;0,000;W;E (1);
2018.08.11. 0:30;0,000;W;E (1);
2018.08.11. 0:45;0,000;W;E (1);
2018.08.11. 1:00;0,000;W;E (1);
2018.08.11. 1:15;0,000;W;E (1);
2018.08.11. 1:30;0,000;W;E (1);
2018.08.11. 1:45;0,000;W;E (1);
2018.08.11. 2:00;0,000;W;E (1);
2018.08.11. 2:15;0,000;W;E (1);
2018.08.11. 2:30;0,000;W;E (1);
2018.08.11. 2:45;0,000;W;E (1);
2018.08.11. 3:00;0,000;W;E (1);
2018.08.11. 3:15;0,000;W;E (1);
2018.08.11. 3:30;0,000;W;E (1);
2018.08.11. 3:45;0,000;W;E (1);
2018.08.11. 4:00;0,000;W;E (1);
2018.08.11. 4:15;0,000;W;E (1);
2018.08.11. 4:30;0,000;W;E (1);
2018.08.11. 4:45;0,000;W;E (1);
2018.08.11. 5:00;0,000;W;E (1);
2018.08.11. 5:15;0,000;W;E (1);
2018.08.11. 5:30;0,000;W;E (1);
2018.08.11. 5:45;0,000;W;E (1);
2018.08.11. 6:00;0,000;W;E (1);
2018.08.11. 6:15;0,000;W;E (1);
2018.08.11. 6:30;0,000;W;E (1);
2018.08.11. 6:45;0,299;W;E (1);
2018.08.11. 7:00;2,694;W;E (1);
2018.08.11. 7:15;8,481;W;E (1);
2018.08.11. 7:30;16,762;W;E (1);
2018.08.11. 7:45;25,742;W;E (1);
2018.08.11. 8:00;35,920;W;E (1);
2018.08.11. 8:15;47,893;W;E (1);
2018.08.11. 8:30;60,964;W;E (1);
2018.08.11. 8:45;81,518;W;E (1);
2018.08.11. 9:00;104,367;W;E (1);
2018.08.11. 9:15;129,012;W;E (1);
2018.08.11. 9:30;142,981;W;E (1);
2018.08.11. 9:45;142,083;W;E (1);
2018.08.11. 10:00;208,635;W;E (1);
2018.08.11. 10:15;218,613;W;E (1);
2018.08.11. 10:30;211,429;W;E (1);
2018.08.11. 10:45;177,604;W;E (1);
2018.08.11. 11:00;175,908;W;E (1);
2018.08.11. 11:15;229,389;W;E (1);
2018.08.11. 11:30;191,274;W;E (1);
2018.08.11. 11:45;162,238;W;E (1);
2018.08.11. 12:00;243,558;W;E (1);
2018.08.11. 12:15;287,360;W;E (1);
2018.08.11. 12:30;268,402;W;E (1);
2018.08.11. 12:45;388,435;W;E (1);
2018.08.11. 13:00;331,362;W;E (1);
2018.08.11. 13:15;303,823;W;E (1);
2018.08.11. 13:30;285,764;W;E (1);
2018.08.11. 13:45;334,455;W;E (1);
2018.08.11. 14:00;342,338;W;E (1);
2018.08.11. 14:15;304,322;W;E (1);
2018.08.11. 14:30;240,464;W;E (1);
2018.08.11. 14:45;270,597;W;E (1);
2018.08.11. 15:00;276,484;W;E (1);
2018.08.11. 15:15;264,311;W;E (1);
2018.08.11. 15:30;333,657;W;E (1);
2018.08.11. 15:45;278,480;W;E (1);
2018.08.11. 16:00;199,556;W;E (1);
2018.08.11. 16:15;259,023;W;E (1);
2018.08.11. 16:30;254,533;W;E (1);
2018.08.11. 16:45;250,941;W;E (1);
2018.08.11. 17:00;222,205;W;E (1);
2018.08.11. 17:15;193,070;W;E (1);
2018.08.11. 17:30;168,524;W;E (1);
2018.08.11. 17:45;135,498;W;E (1);
2018.08.11. 18:00;113,248;W;E (1);
2018.08.11. 18:15;90,997;W;E (1);
2018.08.11. 18:30;66,951;W;E (1);
2018.08.11. 18:45;45,199;W;E (1);
2018.08.11. 19:00;30,632;W;E (1);
2018.08.11. 19:15;11,075;W;E (1);
2018.08.11. 19:30;4,091;W;E (1);
2018.08.11. 19:45;1,896;W;E (1);
2018.08.11. 20:00;0,698;W;E (1);
2018.08.11. 20:15;0,000;W;E (1);
2018.08.11. 20:30;0,000;W;E (1);
2018.08.11. 20:45;0,000;W;E (1);
2018.08.11. 21:00;0,000;W;E (1);
2018.08.11. 21:15;0,000;W;E (1);
2018.08.11. 21:30;0,000;W;E (1);
2018.08.11. 21:45;0,000;W;E (1);
2018.08.11. 22:00;0,000;W;E (1);
2018.08.11. 22:15;0,000;W;E (1);
2018.08.11. 22:30;0,000;W;E (1);
2018.08.11. 22:45;0,000;W;E (1);
2018.08.11. 23:00;0,000;W;E (1);
2018.08.11. 23:15;0,000;W;E (1);
2018.08.11. 23:30;0,000;W;E (1);
2018.08.11. 23:45;0,000;W;E (1);
2018.08.12. 0:00;0,000;W;E (1);
2018.08.12. 0:15;0,000;W;E (1);
2018.08.12. 0:30;0,000;W;E (1);
2018.08.12. 0:45;0,000;W;E (1);
2018.08.12. 1:00;0,000;W;E (1);
2018.08.12. 1:15;0,000;W;E (1);
2018.08.12. 1:30;0,000;W;E (1);
2018.08.12. 1:45;0,000;W;E (1);
2018.08.12. 2:00;0,000;W;E (1);
2018.08.12. 2:15;0,000;W;E (1);
2018.08.12. 2:30;0,000;W;E (1);
2018.08.12. 2:45;0,000;W;E (1);
2018.08.12. 3:00;0,000;W;E (1);
2018.08.12. 3:15;0,000;W;E (1);
2018.08.12. 3:30;0,000;W;E (1);
2018.08.12. 3:45;0,000;W;E (1);
2018.08.12. 4:00;0,000;W;E (1);
2018.08.12. 4:15;0,000;W;E (1);
2018.08.12. 4:30;0,000;W;E (1);
2018.08.12. 4:45;0,000;W;E (1);
2018.08.12. 5:00;0,000;W;E (1);
2018.08.12. 5:15;0,000;W;E (1);
2018.08.12. 5:30;0,000;W;E (1);
2018.08.12. 5:45;0,100;W;E (1);
2018.08.12. 6:00;1,995;W;E (1);
2018.08.12. 6:15;6,485;W;E (1);
2018.08.12. 6:30;12,173;W;E (1);
2018.08.12. 6:45;20,454;W;E (1);
2018.08.12. 7:00;33,525;W;E (1);
2018.08.12. 7:15;50,986;W;E (1);
2018.08.12. 7:30;73,436;W;E (1);
2018.08.12. 7:45;96,784;W;E (1);
2018.08.12. 8:00;121,429;W;E (1);
2018.08.12. 8:15;147,671;W;E (1);
2018.08.12. 8:30;174,212;W;E (1);
2018.08.12. 8:45;198,358;W;E (1);
2018.08.12. 9:00;220,409;W;E (1);
2018.08.12. 9:15;244,755;W;E (1);
2018.08.12. 9:30;268,202;W;E (1);
2018.08.12. 9:45;288,956;W;E (1);
2018.08.12. 10:00;306,816;W;E (1);
2018.08.12. 10:15;324,976;W;E (1);
2018.08.12. 10:30;339,544;W;E (1);
2018.08.12. 10:45;353,014;W;E (1);
2018.08.12. 11:00;365,985;W;E (1);
2018.08.12. 11:15;380,552;W;E (1);
2018.08.12. 11:30;396,018;W;E (1);
2018.08.12. 11:45;404,798;W;E (1);
2018.08.12. 12:00;407,892;W;E (1);
2018.08.12. 12:15;413,878;W;E (1);
2018.08.12. 12:30;412,082;W;E (1);
2018.08.12. 12:45;415,574;W;E (1);
2018.08.12. 13:00;417,071;W;E (1);
2018.08.12. 13:15;409,887;W;E (1);
2018.08.12. 13:30;406,395;W;E (1);
2018.08.12. 13:45;403,402;W;E (1);
2018.08.12. 14:00;399,810;W;E (1);
2018.08.12. 14:15;394,521;W;E (1);
2018.08.12. 14:30;384,444;W;E (1);
2018.08.12. 14:45;372,870;W;E (1);
2018.08.12. 15:00;361,395;W;E (1);
2018.08.12. 15:15;348,923;W;E (1);
2018.08.12. 15:30;332,559;W;E (1);
2018.08.12. 15:45;314,799;W;E (1);
2018.08.12. 16:00;296,240;W;E (1);
2018.08.12. 16:15;277,282;W;E (1);
2018.08.12. 16:30;255,630;W;E (1);
2018.08.12. 16:45;234,178;W;E (1);
2018.08.12. 17:00;211,329;W;E (1);
2018.08.12. 17:15;185,686;W;E (1);
2018.08.12. 17:30;161,540;W;E (1);
2018.08.12. 17:45;135,498;W;E (1);
2018.08.12. 18:00;111,452;W;E (1);
2018.08.12. 18:15;86,906;W;E (1);
2018.08.12. 18:30;64,057;W;E (1);
2018.08.12. 18:45;44,002;W;E (1);
2018.08.12. 19:00;28,436;W;E (1);
2018.08.12. 19:15;17,760;W;E (1);
2018.08.12. 19:30;11,275;W;E (1);
2018.08.12. 19:45;6,386;W;E (1);
2018.08.12. 20:00;2,195;W;E (1);
2018.08.12. 20:15;0,100;W;E (1);
2018.08.12. 20:30;0,000;W;E (1);
2018.08.12. 20:45;0,000;W;E (1);
2018.08.12. 21:00;0,000;W;E (1);
2018.08.12. 21:15;0,000;W;E (1);
2018.08.12. 21:30;0,000;W;E (1);
2018.08.12. 21:45;0,000;W;E (1);
2018.08.12. 22:00;0,000;W;E (1);
2018.08.12. 22:15;0,000;W;E (1);
2018.08.12. 22:30;0,000;W;E (1);
2018.08.12. 22:45;0,000;W;E (1);
2018.08.12. 23:00;0,000;W;E (1);
2018.08.12. 23:15;0,000;W;E (1);
2018.08.12. 23:30;0,000;W;E (1);
2018.08.12. 23:45;0,000;W;E (1);
2018.08.13. 0:00;0,000;W;E (1);
2018.08.13. 0:15;0,000;W;E (1);
2018.08.13. 0:30;0,000;W;E (1);
2018.08.13. 0:45;0,000;W;E (1);
2018.08.13. 1:00;0,000;W;E (1);
2018.08.13. 1:15;0,000;W;E (1);
2018.08.13. 1:30;0,000;W;E (1);
2018.08.13. 1:45;0,000;W;E (1);
2018.08.13. 2:00;0,000;W;E (1);
2018.08.13. 2:15;0,000;W;E (1);
2018.08.13. 2:30;0,000;W;E (1);
2018.08.13. 2:45;0,000;W;E (1);
2018.08.13. 3:00;0,000;W;E (1);
2018.08.13. 3:15;0,000;W;E (1);
2018.08.13. 3:30;0,000;W;E (1);
2018.08.13. 3:45;0,000;W;E (1);
2018.08.13. 4:00;0,000;W;E (1);
2018.08.13. 4:15;0,000;W;E (1);
2018.08.13. 4:30;0,000;W;E (1);
2018.08.13. 4:45;0,000;W;E (1);
2018.08.13. 5:00;0,000;W;E (1);
2018.08.13. 5:15;0,000;W;E (1);
2018.08.13. 5:30;0,000;W;E (1);
2018.08.13. 5:45;0,000;W;E (1);
2018.08.13. 6:00;1,496;W;E (1);
2018.08.13. 6:15;6,086;W;E (1);
2018.08.13. 6:30;11,674;W;E (1);
2018.08.13. 6:45;20,255;W;E (1);
2018.08.13. 7:00;32,827;W;E (1);
2018.08.13. 7:15;49,689;W;E (1);
2018.08.13. 7:30;69,545;W;E (1);
2018.08.13. 7:45;90,398;W;E (1);
2018.08.13. 8:00;113,946;W;E (1);
2018.08.13. 8:15;138,491;W;E (1);
2018.08.13. 8:30;162,538;W;E (1);
2018.08.13. 8:45;187,482;W;E (1);
2018.08.13. 9:00;208,735;W;E (1);
2018.08.13. 9:15;230,187;W;E (1);
2018.08.13. 9:30;251,739;W;E (1);
2018.08.13. 9:45;271,894;W;E (1);
2018.08.13. 10:00;292,948;W;E (1);
2018.08.13. 10:15;311,306;W;E (1);
2018.08.13. 10:30;328,768;W;E (1);
2018.08.13. 10:45;342,437;W;E (1);
2018.08.13. 11:00;353,413;W;E (1);
2018.08.13. 11:15;362,892;W;E (1);
2018.08.13. 11:30;372,071;W;E (1);
2018.08.13. 11:45;380,952;W;E (1);
2018.08.13. 12:00;387,038;W;E (1);
2018.08.13. 12:15;390,430;W;E (1);
2018.08.13. 12:30;398,712;W;E (1);
2018.08.13. 12:45;403,002;W;E (1);
2018.08.13. 13:00;381,650;W;E (1);
2018.08.13. 13:15;294,444;W;E (1);
2018.08.13. 13:30;430,840;W;E (1);
2018.08.13. 13:45;408,390;W;E (1);
2018.08.13. 14:00;407,293;W;E (1);
2018.08.13. 14:15;392,027;W;E (1);
2018.08.13. 14:30;367,182;W;E (1);
2018.08.13. 14:45;370,076;W;E (1);
2018.08.13. 15:00;349,920;W;E (1);
2018.08.13. 15:15;285,264;W;E (1);
2018.08.13. 15:30;333,557;W;E (1);
2018.08.13. 15:45;319,888;W;E (1);
2018.08.13. 16:00;301,129;W;E (1);
2018.08.13. 16:15;282,770;W;E (1);
2018.08.13. 16:30;260,320;W;E (1);
2018.08.13. 16:45;237,172;W;E (1);
2018.08.13. 17:00;212,227;W;E (1);
2018.08.13. 17:15;187,682;W;E (1);
2018.08.13. 17:30;162,538;W;E (1);
2018.08.13. 17:45;136,995;W;E (1);
2018.08.13. 18:00;111,152;W;E (1);
2018.08.13. 18:15;86,607;W;E (1);
2018.08.13. 18:30;62,860;W;E (1);
2018.08.13. 18:45;42,006;W;E (1);
2018.08.13. 19:00;25,742;W;E (1);
2018.08.13. 19:15;15,066;W;E (1);
2018.08.13. 19:30;9,279;W;E (1);
2018.08.13. 19:45;5,388;W;E (1);
2018.08.13. 20:00;1,097;W;E (1);
2018.08.13. 20:15;0,000;W;E (1);
2018.08.13. 20:30;0,000;W;E (1);
2018.08.13. 20:45;0,000;W;E (1);
2018.08.13. 21:00;0,000;W;E (1);
2018.08.13. 21:15;0,000;W;E (1);
2018.08.13. 21:30;0,000;W;E (1);
2018.08.13. 21:45;0,000;W;E (1);
2018.08.13. 22:00;0,000;W;E (1);
2018.08.13. 22:15;0,000;W;E (1);
2018.08.13. 22:30;0,000;W;E (1);
2018.08.13. 22:45;0,000;W;E (1);
2018.08.13. 23:00;0,000;W;E (1);
2018.08.13. 23:15;0,000;W;E (1);
2018.08.13. 23:30;0,000;W;E (1);
2018.08.13. 23:45;0,000;W;E (1);
2018.08.14. 0:00;0,000;W;E (1);
2018.08.14. 0:15;0,000;W;E (1);
2018.08.14. 0:30;0,000;W;E (1);
2018.08.14. 0:45;0,000;W;E (1);
2018.08.14. 1:00;0,000;W;E (1);
2018.08.14. 1:15;0,000;W;E (1);
2018.08.14. 1:30;0,000;W;E (1);
2018.08.14. 1:45;0,000;W;E (1);
2018.08.14. 2:00;0,000;W;E (1);
2018.08.14. 2:15;0,000;W;E (1);
2018.08.14. 2:30;0,000;W;E (1);
2018.08.14. 2:45;0,000;W;E (1);
2018.08.14. 3:00;0,000;W;E (1);
2018.08.14. 3:15;0,000;W;E (1);
2018.08.14. 3:30;0,000;W;E (1);
2018.08.14. 3:45;0,000;W;E (1);
2018.08.14. 4:00;0,000;W;E (1);
2018.08.14. 4:15;0,000;W;E (1);
2018.08.14. 4:30;0,000;W;E (1);
2018.08.14. 4:45;0,000;W;E (1);
2018.08.14. 5:00;0,000;W;E (1);
2018.08.14. 5:15;0,000;W;E (1);
2018.08.14. 5:30;0,000;W;E (1);
2018.08.14. 5:45;0,000;W;E (1);
2018.08.14. 6:00;0,299;W;E (1);
2018.08.14. 6:15;1,995;W;E (1);
2018.08.14. 6:30;4,689;W;E (1);
2018.08.14. 6:45;14,268;W;E (1);
2018.08.14. 7:00;31,430;W;E (1);
2018.08.14. 7:15;50,388;W;E (1);
2018.08.14. 7:30;70,942;W;E (1);
2018.08.14. 7:45;87,904;W;E (1);
2018.08.14. 8:00;117,837;W;E (1);
2018.08.14. 8:15;143,580;W;E (1);
2018.08.14. 8:30;165,132;W;E (1);
2018.08.14. 8:45;183,790;W;E (1);
2018.08.14. 9:00;206,939;W;E (1);
2018.08.14. 9:15;230,886;W;E (1);
2018.08.14. 9:30;251,240;W;E (1);
2018.08.14. 9:45;271,296;W;E (1);
2018.08.14. 10:00;289,754;W;E (1);
2018.08.14. 10:15;307,914;W;E (1);
2018.08.14. 10:30;325,575;W;E (1);
2018.08.14. 10:45;341,040;W;E (1);
2018.08.14. 11:00;353,712;W;E (1);
2018.08.14. 11:15;363,590;W;E (1);
2018.08.14. 11:30;375,264;W;E (1);
2018.08.14. 11:45;382,049;W;E (1);
2018.08.14. 12:00;387,636;W;E (1);
2018.08.14. 12:15;396,218;W;E (1);
2018.08.14. 12:30;388,834;W;E (1);
2018.08.14. 12:45;410,586;W;E (1);
2018.08.14. 13:00;407,692;W;E (1);
2018.08.14. 13:15;383,346;W;E (1);
2018.08.14. 13:30;400,109;W;E (1);
2018.08.14. 13:45;388,834;W;E (1);
2018.08.14. 14:00;388,235;W;E (1);
2018.08.14. 14:15;356,706;W;E (1);
2018.08.14. 14:30;303,823;W;E (1);
2018.08.14. 14:45;322,082;W;E (1);
2018.08.14. 15:00;358,102;W;E (1);
2018.08.14. 15:15;250,742;W;E (1);
2018.08.14. 15:30;25,643;W;E (1);
2018.08.14. 15:45;3,292;W;E (1);
2018.08.14. 16:00;1,995;W;E (1);
2018.08.14. 16:15;3,093;W;E (1);
2018.08.14. 16:30;3,891;W;E (1);
2018.08.14. 16:45;5,687;W;E (1);
2018.08.14. 17:00;10,876;W;E (1);
2018.08.14. 17:15;62,161;W;E (1);
2018.08.14. 17:30;148,868;W;E (1);
2018.08.14. 17:45;69,146;W;E (1);
2018.08.14. 18:00;44,102;W;E (1);
2018.08.14. 18:15;21,851;W;E (1);
2018.08.14. 18:30;13,071;W;E (1);
2018.08.14. 18:45;15,765;W;E (1);
2018.08.14. 19:00;22,849;W;E (1);
2018.08.14. 19:15;27,638;W;E (1);
2018.08.14. 19:30;17,760;W;E (1);
2018.08.14. 19:45;9,778;W;E (1);
2018.08.14. 20:00;1,397;W;E (1);
2018.08.14. 20:15;0,000;W;E (1);
2018.08.14. 20:30;0,000;W;E (1);
2018.08.14. 20:45;0,000;W;E (1);
2018.08.14. 21:00;0,000;W;E (1);
2018.08.14. 21:15;0,000;W;E (1);
2018.08.14. 21:30;0,000;W;E (1);
2018.08.14. 21:45;0,000;W;E (1);
2018.08.14. 22:00;0,000;W;E (1);
2018.08.14. 22:15;0,000;W;E (1);
2018.08.14. 22:30;0,000;W;E (1);
2018.08.14. 22:45;0,000;W;E (1);
2018.08.14. 23:00;0,000;W;E (1);
2018.08.14. 23:15;0,000;W;E (1);
2018.08.14. 23:30;0,000;W;E (1);
2018.08.14. 23:45;0,000;W;E (1);
2018.08.15. 0:00;0,000;W;E (1);
2018.08.15. 0:15;0,000;W;E (1);
2018.08.15. 0:30;0,000;W;E (1);
2018.08.15. 0:45;0,000;W;E (1);
2018.08.15. 1:00;0,000;W;E (1);
2018.08.15. 1:15;0,000;W;E (1);
2018.08.15. 1:30;0,000;W;E (1);
2018.08.15. 1:45;0,000;W;E (1);
2018.08.15. 2:00;0,000;W;E (1);
2018.08.15. 2:15;0,000;W;E (1);
2018.08.15. 2:30;0,000;W;E (1);
2018.08.15. 2:45;0,000;W;E (1);
2018.08.15. 3:00;0,000;W;E (1);
2018.08.15. 3:15;0,000;W;E (1);
2018.08.15. 3:30;0,000;W;E (1);
2018.08.15. 3:45;0,000;W;E (1);
2018.08.15. 4:00;0,000;W;E (1);
2018.08.15. 4:15;0,000;W;E (1);
2018.08.15. 4:30;0,000;W;E (1);
2018.08.15. 4:45;0,000;W;E (1);
2018.08.15. 5:00;0,000;W;E (1);
2018.08.15. 5:15;0,000;W;E (1);
2018.08.15. 5:30;0,000;W;E (1);
2018.08.15. 5:45;0,000;W;E (1);
2018.08.15. 6:00;0,299;W;E (1);
2018.08.15. 6:15;1,696;W;E (1);
2018.08.15. 6:30;5,488;W;E (1);
2018.08.15. 6:45;7,483;W;E (1);
2018.08.15. 7:00;8,082;W;E (1);
2018.08.15. 7:15;12,572;W;E (1);
2018.08.15. 7:30;13,170;W;E (1);
2018.08.15. 7:45;33,425;W;E (1);
2018.08.15. 8:00;50,288;W;E (1);
2018.08.15. 8:15;22,849;W;E (1);
2018.08.15. 8:30;16,463;W;E (1);
2018.08.15. 8:45;17,361;W;E (1);
2018.08.15. 9:00;21,352;W;E (1);
2018.08.15. 9:15;42,804;W;E (1);
2018.08.15. 9:30;68,048;W;E (1);
2018.08.15. 9:45;85,110;W;E (1);
2018.08.15. 10:00;76,230;W;E (1);
2018.08.15. 10:15;88,902;W;E (1);
2018.08.15. 10:30;141,584;W;E (1);
2018.08.15. 10:45;381,550;W;E (1);
2018.08.15. 11:00;373,668;W;E (1);
2018.08.15. 11:15;443,812;W;E (1);
2018.08.15. 11:30;265,010;W;E (1);
2018.08.15. 11:45;257,826;W;E (1);
2018.08.15. 12:00;283,070;W;E (1);
2018.08.15. 12:15;380,054;W;E (1);
2018.08.15. 12:30;368,978;W;E (1);
2018.08.15. 12:45;311,007;W;E (1);
2018.08.15. 13:00;390,231;W;E (1);
2018.08.15. 13:15;412,382;W;E (1);
2018.08.15. 13:30;404,200;W;E (1);
2018.08.15. 13:45;376,860;W;E (1);
2018.08.15. 14:00;387,736;W;E (1);
2018.08.15. 14:15;364,688;W;E (1);
2018.08.15. 14:30;342,238;W;E (1);
2018.08.15. 14:45;307,016;W;E (1);
2018.08.15. 15:00;299,234;W;E (1);
2018.08.15. 15:15;317,194;W;E (1);
2018.08.15. 15:30;297,338;W;E (1);
2018.08.15. 15:45;275,287;W;E (1);
2018.08.15. 16:00;297,836;W;E (1);
2018.08.15. 16:15;268,502;W;E (1);
2018.08.15. 16:30;226,396;W;E (1);
2018.08.15. 16:45;198,957;W;E (1);
2018.08.15. 17:00;179,300;W;E (1);
2018.08.15. 17:15;155,454;W;E (1);
2018.08.15. 17:30;127,715;W;E (1);
2018.08.15. 17:45;123,126;W;E (1);
2018.08.15. 18:00;91,097;W;E (1);
2018.08.15. 18:15;77,028;W;E (1);
2018.08.15. 18:30;49,789;W;E (1);
2018.08.15. 18:45;30,831;W;E (1);
2018.08.15. 19:00;24,246;W;E (1);
2018.08.15. 19:15;17,361;W;E (1);
2018.08.15. 19:30;12,173;W;E (1);
2018.08.15. 19:45;7,284;W;E (1);
2018.08.15. 20:00;1,596;W;E (1);
2018.08.15. 20:15;0,000;W;E (1);
2018.08.15. 20:30;0,000;W;E (1);
2018.08.15. 20:45;0,000;W;E (1);
2018.08.15. 21:00;0,000;W;E (1);
2018.08.15. 21:15;0,000;m;E (1);
2018.08.15. 21:30;0,000;W;E (1);
2018.08.15. 21:45;0,000;W;E (1);
2018.08.15. 22:00;0,000;W;E (1);
2018.08.15. 22:15;0,000;W;E (1);
2018.08.15. 22:30;0,000;W;E (1);
2018.08.15. 22:45;0,000;W;E (1);
2018.08.15. 23:00;0,000;W;E (1);
2018.08.15. 23:15;0,000;W;E (1);
2018.08.15. 23:30;0,000;W;E (1);
2018.08.15. 23:45;0,000;W;E (1);
2018.08.16. 0:00;0,000;W;E (1);
2018.08.16. 0:15;0,000;W;E (1);
2018.08.16. 0:30;0,000;W;E (1);
2018.08.16. 0:45;0,000;W;E (1);
2018.08.16. 1:00;0,000;W;E (1);
2018.08.16. 1:15;0,000;W;E (1);
2018.08.16. 1:30;0,000;W;E (1);
2018.08.16. 1:45;0,000;W;E (1);
2018.08.16. 2:00;0,000;W;E (1);
2018.08.16. 2:15;0,000;W;E (1);
2018.08.16. 2:30;0,000;W;E (1);
2018.08.16. 2:45;0,000;W;E (1);
2018.08.16. 3:00;0,000;W;E (1);
2018.08.16. 3:15;0,000;W;E (1);
2018.08.16. 3:30;0,000;W;E (1);
2018.08.16. 3:45;0,000;W;E (1);
2018.08.16. 4:00;0,000;W;E (1);
2018.08.16. 4:15;0,000;W;E (1);
2018.08.16. 4:30;0,000;W;E (1);
2018.08.16. 4:45;0,000;W;E (1);
2018.08.16. 5:00;0,000;W;E (1);
2018.08.16. 5:15;0,000;W;E (1);
2018.08.16. 5:30;0,000;W;E (1);
2018.08.16. 5:45;0,000;W;E (1);
2018.08.16. 6:00;0,698;W;E (1);
2018.08.16. 6:15;4,290;W;E (1);
2018.08.16. 6:30;9,379;W;E (1);
2018.08.16. 6:45;15,864;W;E (1);
2018.08.16. 7:00;24,645;W;E (1);
2018.08.16. 7:15;42,804;W;E (1);
2018.08.16. 7:30;64,556;W;E (1);
2018.08.16. 7:45;90,698;W;E (1);
2018.08.16. 8:00;115,942;W;E (1);
2018.08.16. 8:15;142,482;W;E (1);
2018.08.16. 8:30;163,436;W;E (1);
2018.08.16. 8:45;187,183;W;E (1);
2018.08.16. 9:00;204,944;W;E (1);
2018.08.16. 9:15;201,750;W;E (1);
2018.08.16. 9:30;225,897;W;E (1);
2018.08.16. 9:45;271,894;W;E (1);
2018.08.16. 10:00;284,067;W;E (1);
2018.08.16. 10:15;255,431;W;E (1);
2018.08.16. 10:30;309,311;W;E (1);
2018.08.16. 10:45;306,418;W;E (1);
2018.08.16. 11:00;317,592;W;E (1);
2018.08.16. 11:15;360,996;W;E (1);
2018.08.16. 11:30;364,588;W;E (1);
2018.08.16. 11:45;397,814;W;E (1);
2018.08.16. 12:00;400,009;W;E (1);
2018.08.16. 12:15;415,175;W;E (1);
2018.08.16. 12:30;410,785;W;E (1);
