"datetime";"termeles_kW";"cloudCover";"temperature";"humidity";"eromu";"icon";"precipProbability";"precipIntensity";"dewPoint";"apparentTemperature";"Rad";"ForecastOrNot";"GHI";"TOA"
2018-12-16 17:15:00;0;0,2275;-5,275;0,8425;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,57;-9,625;0;0;0;0
2018-12-16 17:30:00;0;0,285;-5,36;0,845;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,6;-9,78;0;0;0;0
2018-12-16 17:45:00;0;0,3425;-5,445;0,8475;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,63;-9,935;0;0;0;0
2018-12-16 18:00:00;0;0,4;-5,53;0,85;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,66;-10,09;0;0;0;0
2018-12-16 18:15:00;0;0,4725;-5,5625;0,8525;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,6425;-10,125;0;0;0;0
2018-12-16 18:30:00;0;0,545;-5,595;0,855;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,625;-10,16;0;0;0;0
2018-12-16 18:45:00;0;0,6175;-5,6275;0,8575;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,6075;-10,195;0;0;0;0
2018-12-16 19:00:00;0;0,69;-5,66;0,86;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,59;-10,23;0;0;0;0
2018-12-16 19:15:00;0;0,7425;-5,625;0,86;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,5675;-10,16;0;0;0;0
2018-12-16 19:30:00;0;0,795;-5,59;0,86;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,545;-10,09;0;0;0;0
2018-12-16 19:45:00;0;0,8475;-5,555;0,86;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,5225;-10,02;0;0;0;0
2018-12-16 20:00:00;0;0,9;-5,52;0,86;"szigetvar_gamma";"partly-cloudy-night";0;0;-7,5;-9,95;0;0;0;0
2018-12-16 20:15:00;0;0,9175;-5,535;0,86;"szigetvar_gamma";"cloudy";0;0;-7,5025;-9,895;0;0;0;0
2018-12-16 20:30:00;0;0,935;-5,55;0,86;"szigetvar_gamma";"cloudy";0;0;-7,505;-9,84;0;0;0;0
2018-12-16 20:45:00;0;0,9525;-5,565;0,86;"szigetvar_gamma";"cloudy";0;0;-7,5075;-9,785;0;0;0;0
2018-12-16 21:00:00;0;0,97;-5,58;0,86;"szigetvar_gamma";"cloudy";0;0;-7,51;-9,73;0;0;0;0
2018-12-16 21:15:00;0;0,9675;-5,5775;0,86;"szigetvar_gamma";"cloudy";0;0;-7,5125;-9,62;0;0;0;0
2018-12-16 21:30:00;0;0,965;-5,575;0,86;"szigetvar_gamma";"cloudy";0;0;-7,515;-9,51;0;0;0;0
2018-12-16 21:45:00;0;0,9625;-5,5725;0,86;"szigetvar_gamma";"cloudy";0;0;-7,5175;-9,4;0;0;0;0
2018-12-16 22:00:00;0;0,96;-5,57;0,86;"szigetvar_gamma";"cloudy";0;0;-7,52;-9,29;0;0;0;0
2018-12-16 22:15:00;0;0,9575;-5,41;0,86;"szigetvar_gamma";"cloudy";0;0;-7,3725;-9,1;0;0;0;0
2018-12-16 22:30:00;0;0,955;-5,25;0,86;"szigetvar_gamma";"cloudy";0;0;-7,225;-8,91;0;0;0;0
2018-12-16 22:45:00;0;0,9525;-5,09;0,86;"szigetvar_gamma";"cloudy";0;0;-7,0775;-8,72;0;0;0;0
2018-12-16 23:00:00;0;0,95;-4,93;0,86;"szigetvar_gamma";"cloudy";0;0;-6,93;-8,53;0;0;0;0
2018-12-16 23:15:00;0;0,955;-4,9;0,8625;"szigetvar_gamma";"cloudy";0;0;-6,8675;-8,4975;0;0;0;0
2018-12-16 23:30:00;0;0,96;-4,87;0,865;"szigetvar_gamma";"cloudy";0;0;-6,805;-8,465;0;0;0;0
