"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-29 00:00:00;1556488800;"Mostly Cloudy";"partly-cloudy-night";0;0;10.68;10.68;4.26;0.64;1015.22;2.74;3.77;343;0.72;0;16.09;368.98;0;0;0;1;4;0
2019-04-29 00:15:00;1556489700;"Mostly Cloudy";"partly-cloudy-night";0;0;10.59;10.59;4.225;0.6425;1015.14;2.775;4.1325;343.75;0.7275;0;16.09;368.8975;0;0;0;1;4;0
2019-04-29 00:30:00;1556490600;"Mostly Cloudy";"partly-cloudy-night";0;0;10.5;10.5;4.19;0.645;1015.06;2.81;4.495;344.5;0.735;0;16.09;368.815;0;0;0;1;4;0
2019-04-29 00:45:00;1556491500;"Mostly Cloudy";"partly-cloudy-night";0;0;10.41;10.41;4.155;0.6475;1014.98;2.845;4.8575;345.25;0.7425;0;16.09;368.7325;0;0;0;1;4;0
2019-04-29 01:00:00;1556492400;"Mostly Cloudy";"partly-cloudy-night";0;0;10.32;10.32;4.12;0.65;1014.9;2.88;5.22;346;0.75;0;16.09;368.65;0;0;0;1;4;0
2019-04-29 01:15:00;1556493300;"Mostly Cloudy";"partly-cloudy-night";0;0;10.2175;9.835;4.1175;0.655;1014.82;2.92;5.6025;347;0.7425;0;16.09;368.54;0;0;0;1;4;0
2019-04-29 01:30:00;1556494200;"Mostly Cloudy";"partly-cloudy-night";0;0;10.115;9.35;4.115;0.66;1014.74;2.96;5.985;348;0.735;0;16.09;368.43;0;0;0;1;4;0
2019-04-29 01:45:00;1556495100;"Mostly Cloudy";"partly-cloudy-night";0;0;10.0125;8.865;4.1125;0.665;1014.66;3;6.3675;349;0.7275;0;16.09;368.32;0;0;0;1;4;0
2019-04-29 02:00:00;1556496000;"Mostly Cloudy";"partly-cloudy-night";0;0;9.91;8.38;4.11;0.67;1014.58;3.04;6.75;350;0.72;0;16.09;368.21;0;0;0;1;4;0
2019-04-29 02:15:00;1556496900;"Mostly Cloudy";"partly-cloudy-night";0;0;9.7875;8.2075;4.155;0.6775;1014.5;3.085;7.19;351.5;0.6775;0;16.09;368.0175;0;0;0;1;4;0
2019-04-29 02:30:00;1556497800;"Mostly Cloudy";"partly-cloudy-night";0;0;9.665;8.035;4.2;0.685;1014.42;3.13;7.63;353;0.635;0;16.09;367.825;0;0;0;1;4;0
2019-04-29 02:45:00;1556498700;"Mostly Cloudy";"partly-cloudy-night";0;0;9.5425;7.8625;4.245;0.6925;1014.34;3.175;8.07;354.5;0.5925;0;16.09;367.6325;0;0;0;1;4;0
2019-04-29 03:00:00;1556499600;"Partly Cloudy";"partly-cloudy-night";0;0;9.42;7.69;4.29;0.7;1014.26;3.22;8.51;356;0.55;0;16.09;367.44;0;0;0;1;4;0
2019-04-29 03:15:00;1556500500;"Partly Cloudy";"partly-cloudy-night";0;0;9.305;7.5225;4.3575;0.71;1014.175;3.27;8.97;268;0.4925;0;16.09;367.23;0;0;0;1;4;0
2019-04-29 03:30:00;1556501400;"Partly Cloudy";"partly-cloudy-night";0;0;9.19;7.355;4.425;0.72;1014.09;3.32;9.43;180;0.435;0;16.09;367.02;0;0;0;1;4;0
2019-04-29 03:45:00;1556502300;"Partly Cloudy";"partly-cloudy-night";0;0;9.075;7.1875;4.4925;0.73;1014.005;3.37;9.89;92;0.3775;0;16.09;366.81;0;0;0;1;4;0
2019-04-29 04:00:00;1556503200;"Partly Cloudy";"partly-cloudy-night";0;0;8.96;7.02;4.56;0.74;1013.92;3.42;10.35;4;0.32;0;16.09;366.6;0;0;0;1;4;0
2019-04-29 04:15:00;1556504100;"Partly Cloudy";"partly-cloudy-night";0;0;8.9275;6.95;4.6325;0.745;1013.8675;3.475;10.605;5.25;0.2875;0;16.09;366.39;0;0;0;1;4;0
2019-04-29 04:30:00;1556505000;"Partly Cloudy";"partly-cloudy-night";0;0;8.895;6.88;4.705;0.75;1013.815;3.53;10.86;6.5;0.255;0;16.09;366.18;0;0;0;1;4;0
