"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
2019-03-16 00:00:00;1552690800;"Mostly Cloudy";"partly-cloudy-night";0;0;10.56;10.56;0.77;0.51;1010.76;4.31;10.93;250;0.76;0;16.09;353.84;"rain";0;0;0;1;0
2019-03-16 00:15:00;1552691700;"Mostly Cloudy";"partly-cloudy-night";0;0;10.3925;9.8475;0.7725;0.515;1010.775;4.3225;10.74;250.5;0.755;0;16.09;353.64;"rain";0;0;0;1;0
2019-03-16 00:30:00;1552692600;"Mostly Cloudy";"partly-cloudy-night";0;0;10.225;9.135;0.775;0.52;1010.79;4.335;10.55;251;0.75;0;16.09;353.44;"rain";0;0;0;1;0
2019-03-16 00:45:00;1552693500;"Mostly Cloudy";"partly-cloudy-night";0;0;10.0575;8.4225;0.7775;0.525;1010.805;4.3475;10.36;251.5;0.745;0;16.09;353.24;"rain";0;0;0;1;0
2019-03-16 01:00:00;1552694400;"Mostly Cloudy";"partly-cloudy-night";0;0;9.89;7.71;0.78;0.53;1010.82;4.36;10.17;252;0.74;0;16.09;353.04;"rain";0;0;0;1;0
2019-03-16 01:15:00;1552695300;"Mostly Cloudy";"partly-cloudy-night";0;0;9.7725;7.55;0.755;0.5325;1010.7875;4.395;10.285;252.25;0.7425;0;16.09;352.7525;"rain";0;0;0;1;0
2019-03-16 01:30:00;1552696200;"Mostly Cloudy";"partly-cloudy-night";0;0;9.655;7.39;0.73;0.535;1010.755;4.43;10.4;252.5;0.745;0;16.09;352.465;"rain";0;0;0;1;0
2019-03-16 01:45:00;1552697100;"Mostly Cloudy";"partly-cloudy-night";0;0;9.5375;7.23;0.705;0.5375;1010.7225;4.465;10.515;252.75;0.7475;0;16.09;352.1775;"rain";0;0;0;1;0
2019-03-16 02:00:00;1552698000;"Mostly Cloudy";"partly-cloudy-night";0;0;9.42;7.07;0.68;0.54;1010.69;4.5;10.63;253;0.75;0;16.09;351.89;"rain";0;0;0;1;0
2019-03-16 02:15:00;1552698900;"Mostly Cloudy";"partly-cloudy-night";0;0;9.3625;6.98;0.6525;0.5425;1010.6375;4.5425;10.8625;252.75;0.755;0;16.09;351.56;"rain";0;0;0;1;0
2019-03-16 02:30:00;1552699800;"Mostly Cloudy";"partly-cloudy-night";0;0;9.305;6.89;0.625;0.545;1010.585;4.585;11.095;252.5;0.76;0;16.09;351.23;"rain";0;0;0;1;0
2019-03-16 02:45:00;1552700700;"Mostly Cloudy";"partly-cloudy-night";0;0;9.2475;6.8;0.5975;0.5475;1010.5325;4.6275;11.3275;252.25;0.765;0;16.09;350.9;"rain";0;0;0;1;0
2019-03-16 03:00:00;1552701600;"Mostly Cloudy";"partly-cloudy-night";0;0;9.19;6.71;0.57;0.55;1010.48;4.67;11.56;252;0.77;0;16.09;350.57;"rain";0;0;0;1;0
2019-03-16 03:15:00;1552702500;"Mostly Cloudy";"partly-cloudy-night";0;0;9.21;6.7225;0.58;0.55;1010.4575;4.7;11.7675;251.25;0.775;0;16.09;350.335;"rain";0;0;0;1;0
2019-03-16 03:30:00;1552703400;"Mostly Cloudy";"partly-cloudy-night";0;0;9.23;6.735;0.59;0.55;1010.435;4.73;11.975;250.5;0.78;0;16.09;350.1;"rain";0;0;0;1;0
2019-03-16 03:45:00;1552704300;"Mostly Cloudy";"partly-cloudy-night";0;0;9.25;6.7475;0.6;0.55;1010.4125;4.76;12.1825;249.75;0.785;0;16.09;349.865;"rain";0;0;0;1;0
2019-03-16 04:00:00;1552705200;"Mostly Cloudy";"partly-cloudy-night";0;0;9.27;6.76;0.61;0.55;1010.39;4.79;12.39;249;0.79;0;16.09;349.63;"rain";0;0;0;1;0
2019-03-16 04:15:00;1552706100;"Mostly Cloudy";"partly-cloudy-night";0;0;9.335;6.8925;0.6775;0.55;1010.4325;4.66;12.545;246.25;0.7975;0;16.09;349.56;"rain";0;0;0;1;0
2019-03-16 04:30:00;1552707000;"Mostly Cloudy";"partly-cloudy-night";0;0;9.4;7.025;0.745;0.55;1010.475;4.53;12.7;243.5;0.805;0;16.09;349.49;"rain";0;0;0;1;0
2019-03-16 04:45:00;1552707900;"Mostly Cloudy";"partly-cloudy-night";0;0;9.465;7.1575;0.8125;0.55;1010.5175;4.4;12.855;240.75;0.8125;0;16.09;349.42;"rain";0;0;0;1;0
2019-03-16 05:00:00;1552708800;"Mostly Cloudy";"partly-cloudy-night";0;0;9.53;7.29;0.88;0.55;1010.56;4.27;13.01;238;0.82;0;16.09;349.35;"rain";0;0;0;1;0
2019-03-16 05:15:00;1552709700;"Mostly Cloudy";"partly-cloudy-night";0;0;9.6375;7.4125;0.9925;0.55;1010.6425;4.2975;13.1375;247.25;0.8275;0;16.09;349.37;"rain";0;0;0;1;0
2019-03-16 05:30:00;1552710600;"Mostly Cloudy";"partly-cloudy-night";0;0;9.745;7.535;1.105;0.55;1010.725;4.325;13.265;256.5;0.835;0;16.09;349.39;"rain";0;0;0;1;0
2019-03-16 05:45:00;1552711500;"Mostly Cloudy";"partly-cloudy-night";0;0;9.8525;7.6575;1.2175;0.55;1010.8075;4.3525;13.3925;265.75;0.8425;0;16.09;349.41;"rain";0;0;0;1;0
2019-03-16 06:00:00;1552712400;"Mostly Cloudy";"partly-cloudy-night";0;0;9.96;7.78;1.33;0.55;1010.89;4.38;13.52;275;0.85;0;16.09;349.43;"rain";5;0;0;1;0
2019-03-16 06:15:00;1552713300;"Mostly Cloudy";"partly-cloudy-day";0;0;10.0675;8.4325;1.485;0.5525;1010.9875;4.4525;13.5375;271;0.8575;0;16.09;349.335;"rain";30;1.0592;4.2486;1;-5
