"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"precipType";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
"2019-03-10 00:00:00";1552172400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";11.28;11.28;3.4;0.58;1020.36;5.06;12.67;250;0.84;0;16.09;320.42;0;0;0;1;0
"2019-03-10 00:15:00";1552173300;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";11.175;11.175;3.4475;0.5875;1020.3475;5.0525;12.6325;249.75;0.82;0;16.09;320.3125;0;0;0;1;0
"2019-03-10 00:30:00";1552174200;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";11.07;11.07;3.495;0.595;1020.335;5.045;12.595;249.5;0.8;0;16.09;320.205;0;0;0;1;0
"2019-03-10 00:45:00";1552175100;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.965;10.965;3.5425;0.6025;1020.3225;5.0375;12.5575;249.25;0.78;0;16.09;320.0975;0;0;0;1;0
"2019-03-10 01:00:00";1552176000;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.86;10.86;3.59;0.61;1020.31;5.03;12.52;249;0.76;0;16.09;319.99;0;0;0;1;0
"2019-03-10 01:15:00";1552176900;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.7625;10.7625;3.6575;0.6175;1020.25;5.0075;12.5425;249;0.7475;0;16.09;319.6075;0;0;0;1;0
"2019-03-10 01:30:00";1552177800;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.665;10.665;3.725;0.625;1020.19;4.985;12.565;249;0.735;0;16.09;319.225;0;0;0;1;0
"2019-03-10 01:45:00";1552178700;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.5675;10.5675;3.7925;0.6325;1020.13;4.9625;12.5875;249;0.7225;0;16.09;318.8425;0;0;0;1;0
"2019-03-10 02:00:00";1552179600;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.47;10.47;3.86;0.64;1020.07;4.94;12.61;249;0.71;0;16.09;318.46;0;0;0;1;0
"2019-03-10 02:15:00";1552180500;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.3925;10.3925;3.93;0.645;1019.975;4.91;12.67;248.5;0.7;0;16.09;317.9075;0;0;0;1;0
"2019-03-10 02:30:00";1552181400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.315;10.315;4;0.65;1019.88;4.88;12.73;248;0.69;0;16.09;317.355;0;0;0;1;0
"2019-03-10 02:45:00";1552182300;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.2375;10.2375;4.07;0.655;1019.785;4.85;12.79;247.5;0.68;0;16.09;316.8025;0;0;0;1;0
"2019-03-10 03:00:00";1552183200;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.16;10.16;4.14;0.66;1019.69;4.82;12.85;247;0.67;0;16.09;316.25;0;0;0;1;0
"2019-03-10 03:15:00";1552184100;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.0825;9.4925;4.1825;0.665;1019.6;4.8075;12.935;246.75;0.665;0;16.09;315.6525;0;0;0;1;0
"2019-03-10 03:30:00";1552185000;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";10.005;8.825;4.225;0.67;1019.51;4.795;13.02;246.5;0.66;0;16.09;315.055;0;0;0;1;0
"2019-03-10 03:45:00";1552185900;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.9275;8.1575;4.2675;0.675;1019.42;4.7825;13.105;246.25;0.655;0;16.09;314.4575;0;0;0;1;0
"2019-03-10 04:00:00";1552186800;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.85;7.49;4.31;0.68;1019.33;4.77;13.19;246;0.65;0;16.09;313.86;0;0;0;1;0
"2019-03-10 04:15:00";1552187700;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.77;7.4;4.3;0.685;1019.235;4.7475;13.3175;245.5;0.655;0;16.09;313.275;0;0;0;1;0
"2019-03-10 04:30:00";1552188600;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.69;7.31;4.29;0.69;1019.14;4.725;13.445;245;0.66;0;16.09;312.69;0;0;0;1;0
"2019-03-10 04:45:00";1552189500;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.61;7.22;4.28;0.695;1019.045;4.7025;13.5725;244.5;0.665;0;16.09;312.105;0;0;0;1;0
"2019-03-10 05:00:00";1552190400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.53;7.13;4.27;0.7;1018.95;4.68;13.7;244;0.67;0;16.09;311.52;0;0;0;1;0
"2019-03-10 05:15:00";1552191300;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.49;7.085;4.2425;0.7;1018.8625;4.6675;13.8525;243.25;0.68;0;16.09;310.85;0;0;0;1;0
"2019-03-10 05:30:00";1552192200;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.45;7.04;4.215;0.7;1018.775;4.655;14.005;242.5;0.69;0;16.09;310.18;0;0;0;1;0
"2019-03-10 05:45:00";1552193100;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.41;6.995;4.1875;0.7;1018.6875;4.6425;14.1575;241.75;0.7;0;16.09;309.51;0;0;0;1;0
"2019-03-10 06:00:00";1552194000;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";9.37;6.95;4.16;0.7;1018.6;4.63;14.31;241;0.71;0;16.09;308.84;0;0;0;1;0
"2019-03-10 06:15:00";1552194900;"Mostly Cloudy";"partly-cloudy-day";0.001275;0.0025;"rain";9.4475;7.0175;4.145;0.695;1018.49;4.7075;14.435;240.5;0.7125;0;16.09;308.16;11;0;0;1;0
"2019-03-10 06:30:00";1552195800;"Mostly Cloudy";"partly-cloudy-day";0.00255;0.005;"rain";9.525;7.085;4.13;0.69;1018.38;4.785;14.56;240;0.715;0;16.09;307.48;39;1.9619;7.3682;1;-1
