"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-21 00:00:00;1555797600;"Clear";"clear-night";0;0;9.07;8.33;-0.36;0.52;1026.7;1.75;1.98;196;0;0;16.09;342.88;"rain";0;0;0;1;4;0
2019-04-21 00:15:00;1555798500;"Clear";"clear-night";0;0;8.895;8.2025;-0.2725;0.53;1026.605;1.6825;1.9325;202;0;0;16.09;342.8125;"rain";0;0;0;1;4;0
2019-04-21 00:30:00;1555799400;"Clear";"clear-night";0;0;8.72;8.075;-0.185;0.54;1026.51;1.615;1.885;208;0;0;16.09;342.745;"rain";0;0;0;1;4;0
2019-04-21 00:45:00;1555800300;"Clear";"clear-night";0;0;8.545;7.9475;-0.0975;0.55;1026.415;1.5475;1.8375;214;0;0;16.09;342.6775;"rain";0;0;0;1;4;0
2019-04-21 01:00:00;1555801200;"Clear";"clear-night";0;0;8.37;7.82;-0.01;0.56;1026.32;1.48;1.79;220;0;0;16.09;342.61;"rain";0;0;0;1;4;0
2019-04-21 01:15:00;1555802100;"Clear";"clear-night";0;0;8.2075;7.795;0.0525;0.5675;1026.235;1.435;1.76;221;0;0;16.09;342.61;"rain";0;0;0;1;4;0
2019-04-21 01:30:00;1555803000;"Clear";"clear-night";0;0;8.045;7.77;0.115;0.575;1026.15;1.39;1.73;222;0;0;16.09;342.61;"rain";0;0;0;1;4;0
2019-04-21 01:45:00;1555803900;"Clear";"clear-night";0;0;7.8825;7.745;0.1775;0.5825;1026.065;1.345;1.7;223;0;0;16.09;342.61;"rain";0;0;0;1;4;0
2019-04-21 02:00:00;1555804800;"Clear";"clear-night";0;0;7.72;7.72;0.24;0.59;1025.98;1.3;1.67;224;0;0;16.09;342.61;"rain";0;0;0;1;4;0
2019-04-21 02:15:00;1555805700;"Clear";"clear-night";0;0;7.525;7.525;0.2125;0.5975;1025.885;1.275;1.685;216.5;0;0;16.09;342.63;"rain";0;0;0;1;4;0
2019-04-21 02:30:00;1555806600;"Clear";"clear-night";0;0;7.33;7.33;0.185;0.605;1025.79;1.25;1.7;209;0;0;16.09;342.65;"rain";0;0;0;1;4;0
2019-04-21 02:45:00;1555807500;"Clear";"clear-night";0;0;7.135;7.135;0.1575;0.6125;1025.695;1.225;1.715;201.5;0;0;16.09;342.67;"rain";0;0;0;1;4;0
2019-04-21 03:00:00;1555808400;"Clear";"clear-night";0;0;6.94;6.94;0.13;0.62;1025.6;1.2;1.73;194;0;0;16.09;342.69;"rain";0;0;0;1;4;0
